,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD
normalized_trrosettarna_r1107_4.pdb,13.065,2.2881400663088414e-09,0.415,0.267,0.0,0.522,31.493,46.05,0.235,0.101,0.188,0.29,0.362,0.0,0.229,1.355,1.744,0.491,0.406,0.705
normalized_trrosettarna_r1107_1.pdb,13.352,5.899365773665011e-09,0.626,0.758,0.0,0.604,21.315,31.95,0.257,0.145,0.203,0.275,0.406,0.0,0.23,1.355,1.456,1.213,0.468,0.737
normalized_rhofold_R1107.pdb,14.725,3.913157456403305e-07,0.47,0.309,0.0,0.595,31.332,58.95,0.232,0.101,0.159,0.261,0.406,0.0,0.282,1.509,1.948,0.893,0.36,0.65
normalized_trrosettarna_r1107_3.pdb,15.024,9.034873796331944e-07,0.399,,0.0,0.552,37.653,54.4,0.159,0.087,0.101,0.159,0.29,0.0,0.138,1.59,1.838,0.353,0.381,0.697
normalized_trrosettarna_r1107_5.pdb,15.148,1.2683963114268335e-06,0.354,,0.0,0.485,42.778,54.2,0.17,0.087,0.116,0.174,0.304,0.0,0.154,1.622,1.837,0.329,0.376,0.697
normalized_trrosettarna_r1107_2.pdb,15.558,3.785302515491029e-06,0.513,0.54,0.0,0.552,30.311,46.21,0.254,0.145,0.203,0.29,0.377,0.0,0.219,1.622,1.767,0.589,0.417,0.712
normalized_rnacomposer_r1107.pdb,17.056,0.0001336828343314,0.55,0.326,0.0,0.667,30.985,27.83,0.228,0.145,0.203,0.232,0.333,0.0,0.209,1.781,1.906,1.482,0.377,0.664
normalized_mcsym_r1107_1.pdb,18.053,0.0009969944763257,0.539,0.312,,0.648,33.464,36.53,0.265,0.13,0.217,0.29,0.42,0.0,0.213,1.817,2.004,1.824,0.004,0.665
normalized_simrna_r1107.pdb,18.524,0.0023337994187341,0.548,0.306,0.0,0.673,33.801,25.65,0.246,0.188,0.217,0.246,0.333,0.0,0.264,1.916,2.072,1.838,0.034,0.67
normalized_vfold_r1107_4.pdb,18.806,0.0037644799813078,0.519,0.312,0.0,0.636,36.27,36.28,0.246,0.145,0.232,0.29,0.319,0.0,0.353,1.938,2.003,1.336,0.01,0.654
normalized_mcsym_r1107_2.pdb,18.899,0.0043859064571504,0.577,0.319,0.0,0.698,32.748,39.43,0.217,0.101,0.174,0.261,0.333,0.0,0.267,1.914,1.949,1.867,0.001,0.666
normalized_3drna_r1107_4.pdb,19.078,0.0058416839142937,0.566,0.35,0.0,0.667,33.696,30.55,0.206,0.101,0.188,0.232,0.304,0.0,0.232,1.998,1.968,1.246,0.371,0.634
normalized_vfold_r1107_5.pdb,19.521,0.0114364665401723,0.418,0.326,0.0,0.502,46.744,32.3,0.225,0.13,0.188,0.232,0.348,0.0,0.253,2.064,2.001,1.288,0.002,0.679
normalized_3drna_r1107_3.pdb,19.855,0.0183187448465955,0.526,0.35,0.0,0.628,37.717,33.64,0.21,0.101,0.203,0.232,0.304,0.0,0.222,2.078,1.99,1.26,0.355,0.63
normalized_mcsym_r1107_5.pdb,20.796,0.0585671691235145,0.52,0.319,0.0,0.622,39.99,37.2,0.221,0.13,0.203,0.232,0.319,0.0,0.224,2.092,2.008,1.958,0.014,0.661
normalized_mcsym_r1107_3.pdb,20.924,0.0673236250433239,0.556,0.319,,0.667,37.613,36.36,0.232,0.116,0.203,0.261,0.348,0.0,0.232,2.143,1.988,1.709,0.007,0.661
normalized_vfold_r1107_2.pdb,21.398,0.108806311194579,0.471,0.326,0.0,0.583,45.431,34.68,0.268,0.145,0.232,0.319,0.377,0.0,0.254,2.182,2.116,1.237,0.001,0.647
normalized_3drna_r1107_5.pdb,21.415,0.1106334442099902,0.549,0.309,,0.655,38.995,34.85,0.192,0.101,0.174,0.217,0.275,0.0,0.244,2.198,1.973,1.214,0.378,0.649
normalized_3drna_r1107_2.pdb,21.576,0.1284176654078844,0.531,0.37,0.0,0.614,40.669,28.51,0.206,0.116,0.203,0.232,0.275,0.0,0.2,2.254,1.927,1.116,0.336,0.61
normalized_mcsym_r1107_4.pdb,21.578,0.1286326013806364,0.538,0.319,0.0,0.649,40.094,37.2,0.199,0.101,0.159,0.246,0.29,0.0,0.205,2.2,1.983,1.931,0.003,0.661
normalized_vfold_r1107_1.pdb,21.794,0.1555705904979539,0.508,0.319,0.0,0.622,42.875,30.57,0.199,0.116,0.188,0.232,0.261,0.0,0.238,2.278,1.972,1.456,0.006,0.672
normalized_isrna_r1107.pdb,22.118,0.2024461154610687,0.57,0.342,0.0,0.681,38.781,27.77,0.261,0.145,0.232,0.29,0.377,0.0,0.25,2.295,1.905,1.454,0.305,0.652
normalized_vfoldpipeline_r1107.pdb,22.448,0.258097756086992,0.53,0.342,0.0,0.617,42.37,23.97,0.206,0.116,0.203,0.232,0.275,0.0,0.241,2.314,1.994,1.771,0.375,0.659
normalized_3drna_r1107_1.pdb,22.716,0.3084696086826284,0.583,0.35,0.0,0.692,38.979,29.32,0.221,0.13,0.217,0.246,0.29,0.0,0.289,2.333,1.955,1.48,0.38,0.662
normalized_vfold_r1107_3.pdb,24.068,0.5989076178985582,0.529,0.286,0.0,0.668,45.52,34.49,0.206,0.145,0.188,0.217,0.275,0.0,0.257,2.452,2.045,1.356,0.014,0.657
