,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,QS-score
normalized_trrosettarna_r1117_4.pdb,,,0.21,,0.0,0.333,,,0.328,0.172,0.276,0.379,0.483,0.0,0.121,0.0
normalized_mcsym_r1117_1.pdb,,,0.334,0.436,0.0,0.385,,,0.457,0.241,0.379,0.517,0.69,0.0,0.175,0.0
normalized_trrosettarna_r1117_2.pdb,,,0.272,0.478,0.136,0.25,,,0.741,0.276,0.724,0.966,1.0,0.0,0.293,0.0
normalized_isrna_r1117.pdb,,,0.404,0.478,0.0,0.497,,,0.422,0.31,0.379,0.414,0.586,0.0,0.199,0.0
normalized_mcsym_r1117_4.pdb,,,0.334,0.478,0.0,0.37,,,0.405,0.276,0.345,0.379,0.621,0.0,0.158,0.0
normalized_3drna_r1117_3.pdb,,,0.267,0.359,0.0,0.314,,,0.578,0.31,0.414,0.655,0.931,0.0,0.214,0.0
normalized_vfoldpipeline_r1117.pdb,,,0.309,0.436,,0.335,,,0.431,0.276,0.345,0.517,0.586,0.0,0.173,0.0
normalized_3drna_r1117_2.pdb,,,0.364,0.463,0.0,0.436,,,0.44,0.241,0.379,0.483,0.655,0.0,0.174,0.0
normalized_rnajp_r1117.pdb,,,0.443,0.478,,0.533,,,0.448,0.241,0.379,0.552,0.621,0.0,0.173,0.0
normalized_mcsym_r1117_3.pdb,,,0.322,0.404,,0.364,,,0.414,0.172,0.379,0.448,0.655,0.0,0.158,0.0
normalized_mcsym_r1117_2.pdb,,,0.297,0.356,,0.344,,,0.388,0.276,0.345,0.379,0.552,0.0,0.17,0.0
normalized_trrosettarna_r1117_3.pdb,,,0.083,0.267,0.0,0.092,,,0.716,0.241,0.655,0.966,1.0,0.0,0.279,0.0
normalized_trrosettarna_r1117_5.pdb,,,0.294,0.0,0.0,0.481,,,0.336,0.207,0.276,0.379,0.483,0.0,0.133,0.0
normalized_3drna_r1117_5.pdb,,,0.303,0.463,0.0,0.337,,,0.517,0.207,0.379,0.552,0.931,0.0,0.206,0.0
normalized_rnacomposer_r1117.pdb,,,0.303,0.478,0.0,0.316,,,0.336,0.172,0.241,0.345,0.586,0.0,0.127,0.0
normalized_mcsym_r1117_5.pdb,,,0.314,0.404,,0.352,,,0.405,0.241,0.345,0.414,0.621,0.0,0.165,0.0
normalized_trrosettarna_r1117_1.pdb,,,0.344,0.505,0.105,0.375,,,0.733,0.276,0.69,0.966,1.0,0.0,0.276,0.0
normalized_3drna_r1117_4.pdb,,,0.396,0.463,0.0,0.484,,,0.431,0.241,0.379,0.483,0.621,0.0,0.169,0.0
normalized_3drna_r1117_1.pdb,,,0.38,0.463,0.0,0.458,,,0.431,0.241,0.379,0.483,0.621,0.0,0.17,0.0
