,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_trrosettarna_r1138_1.pdb,43.493,0.0,0.485,0.519,0.0,0.513,89.715,47.15,0.05,0.019,0.033,0.05,0.099,0.0,0.223,4.412,2.016,9.882,0.268,0.665,,,
normalized_trrosettarna_r1138_2.pdb,48.683,0.0,0.373,0.359,0.0,0.42,130.692,55.2,0.046,0.028,0.032,0.047,0.076,0.0,0.194,4.903,2.231,6.395,0.135,0.597,,,
normalized_trrosettarna_r1138_3.pdb,49.234,0.0,0.359,0.37,0.0,0.408,137.225,58.83,0.046,0.019,0.033,0.044,0.086,0.0,0.17,4.96,2.257,5.924,0.114,0.574,,,
normalized_trrosettarna_r1138_4.pdb,51.117,0.0,0.289,0.323,0.0,0.328,177.087,61.59,0.045,0.013,0.029,0.051,0.089,0.0,0.173,5.153,2.381,4.508,0.059,0.537,,,
normalized_trrosettarna_r1138_5.pdb,52.32,0.0,0.327,0.326,0.0,0.381,159.988,61.59,0.044,0.018,0.033,0.04,0.085,0.0,0.178,5.273,2.37,4.935,0.085,0.535,,,
normalized_alphafold3_R1138_4.pdb,47.028,0.0,0.825,0.935,0.117,0.792,57.016,20.38,0.085,0.024,0.054,0.096,0.168,0.0,0.233,4.755,0.996,33.886,0.481,0.809,0.0,100.0,720.0
normalized_alphafold3_R1138_5.pdb,47.032,0.0,0.82,0.916,0.069,0.793,57.333,20.46,0.086,0.028,0.051,0.1,0.165,0.0,0.236,4.756,0.983,32.174,0.481,0.808,0.0,100.0,720.0
normalized_alphafold3_R1138_2.pdb,47.042,0.0,0.825,0.93,0.0,0.795,57.014,20.39,0.085,0.024,0.054,0.1,0.163,0.0,0.256,4.758,0.991,33.958,0.492,0.811,0.0,100.0,720.0
normalized_alphafold3_R1138_3.pdb,47.123,0.0,0.824,0.931,0.069,0.791,57.187,20.54,0.091,0.032,0.064,0.103,0.167,0.0,0.234,4.765,0.991,33.202,0.487,0.808,0.0,100.0,720.0
normalized_alphafold3_R1138_1.pdb,47.317,0.0,0.825,0.932,0.071,0.793,57.319,20.5,0.085,0.022,0.053,0.099,0.168,0.0,0.234,4.785,0.982,33.785,0.488,0.813,0.0,100.0,720.0
