,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_trrosettarna_2QUS_1.pdb,2.43,0.0,0.591,0.684,0.0,0.621,4.111,32.31,0.441,0.176,0.279,0.338,0.971,0.0,0.731,0.214,1.478,1.511,0.673,0.05,,,
normalized_trrosettarna_2QUS_2.pdb,2.502,0.0,0.63,0.8,0.0,0.625,3.971,34.45,0.441,0.162,0.279,0.338,0.985,0.0,0.728,0.21,1.469,1.646,0.68,0.049,,,
normalized_vfold_2QUS_1.pdb,4.235,0.0,0.731,0.93,0.0,0.715,5.795,28.91,0.36,0.103,0.206,0.294,0.838,0.0,0.588,0.386,1.315,1.591,0.008,0.048,,,
normalized_vfoldpipeline_2QUS.pdb,4.604,0.0,0.889,0.977,0.577,0.874,5.181,17.2,0.382,0.132,0.221,0.309,0.868,0.0,0.748,0.46,0.856,2.332,0.8,0.046,,,
normalized_simrna_2QUS.pdb,7.862,0.0,0.729,0.889,0.0,0.703,10.786,26.5,0.298,0.118,0.206,0.294,0.574,0.0,0.334,0.815,1.484,1.993,0.053,0.051,,,
normalized_trrosettarna_2QUS_5.pdb,8.168,0.0,0.462,0.522,0.0,0.503,17.696,40.97,0.298,0.162,0.221,0.294,0.515,0.0,0.426,0.898,1.81,0.881,0.553,0.051,,,
normalized_trrosettarna_2QUS_3.pdb,10.722,9.375278331447134e-13,0.362,0.0,0.0,0.488,29.629,61.74,0.169,0.073,0.118,0.162,0.324,0.0,0.225,1.24,1.924,0.494,0.544,0.048,,,
normalized_trrosettarna_2QUS_4.pdb,10.865,1.6559531523796522e-12,0.383,0.369,0.0,0.488,28.391,64.26,0.162,0.073,0.118,0.147,0.309,0.0,0.228,1.257,1.915,0.404,0.535,0.049,,,
normalized_3drna_2QUS_5.pdb,12.368,4.4232895124451933e-10,0.617,0.804,0.0,0.594,20.034,33.51,0.217,0.103,0.132,0.206,0.426,0.0,0.239,1.313,1.598,1.432,0.467,0.042,,,
normalized_3drna_2QUS_4.pdb,12.419,5.285937243471037e-10,0.613,0.827,0.0,0.569,20.254,30.54,0.213,0.088,0.132,0.206,0.426,0.0,0.243,1.303,1.553,1.469,0.463,0.046,,,
normalized_3drna_2QUS_3.pdb,12.515,7.370949406393377e-10,0.555,0.8,0.0,0.521,22.555,33.09,0.206,0.088,0.132,0.206,0.397,0.0,0.235,1.318,1.695,1.379,0.451,0.048,,,
normalized_vfold_2QUS_2.pdb,12.531,7.783296784857894e-10,0.656,0.929,0.0,0.594,19.099,30.89,0.224,0.118,0.147,0.25,0.382,0.0,0.314,1.324,1.485,1.498,0.001,0.044,,,
normalized_3drna_2QUS_1.pdb,12.678,1.285042516840917e-09,0.629,0.827,0.0,0.588,20.166,31.22,0.21,0.088,0.132,0.221,0.397,0.0,0.248,1.358,1.593,1.413,0.443,0.05,,,
normalized_rhofold_2QUS.pdb,12.994,3.710722007443934e-09,0.645,0.672,0.0,0.691,20.155,56.59,0.257,0.103,0.162,0.221,0.544,0.0,0.322,1.359,1.654,1.083,0.464,0.048,,,
normalized_3drna_2QUS_2.pdb,14.422,3.056130178924477e-07,0.645,0.8,0.0,0.632,22.372,29.33,0.21,0.103,0.118,0.221,0.397,0.0,0.253,1.508,1.612,1.374,0.422,0.039,,,
normalized_isrna_2QUS.pdb,15.855,1.3838361243689867e-05,0.756,0.953,,0.708,20.974,23.03,0.221,0.132,0.191,0.235,0.324,0.0,0.348,1.671,1.363,2.218,0.481,0.047,,,
normalized_rnajp_2QUS.pdb,16.389,4.906686340316879e-05,0.83,0.953,0.289,0.817,19.744,24.66,0.21,0.132,0.162,0.235,0.309,0.0,0.335,1.724,1.237,2.324,0.137,0.05,,,
normalized_vfold_2QUS_3.pdb,19.359,0.0123895963020552,0.698,0.93,0.0,0.648,27.716,31.15,0.202,0.132,0.176,0.191,0.309,0.0,0.343,2.017,1.487,1.571,0.001,0.053,,,
normalized_rnacomposer_2QUS.pdb,22.785,0.3662240647984158,0.691,0.905,0.0,0.635,32.951,29.51,0.169,0.088,0.132,0.162,0.294,0.0,0.234,2.379,1.423,1.287,0.226,0.049,,,
normalized_alphafold3_2QUS_1.pdb,4.596,0.0,0.857,0.955,0.0,0.857,5.362,17.21,0.393,0.176,0.25,0.368,0.779,0.0,0.574,0.459,1.032,2.774,0.74,0.046,0.0,100.0,68.0
