,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_trrosettarna_3D2V_3.pdb,2.252,0.0,0.505,0.632,0.16,0.565,4.465,35.48,0.782,0.273,0.857,1.0,1.0,0.0,0.776,0.198,1.652,0.755,0.63,0.799,,,
normalized_trrosettarna_3D2V_1.pdb,2.459,0.0,0.325,0.456,0.0,0.377,7.577,40.02,0.808,0.351,0.883,1.0,1.0,0.0,0.796,0.199,1.864,0.618,0.605,0.789,,,
normalized_trrosettarna_3D2V_2.pdb,2.764,0.0,0.544,0.751,0.113,0.551,5.078,38.42,0.786,0.299,0.844,1.0,1.0,0.0,0.77,0.227,1.643,0.988,0.614,0.799,,,
normalized_rhofold_3D2V.pdb,3.999,0.0,0.626,0.699,0.263,0.681,6.385,52.23,0.597,0.143,0.39,0.857,1.0,0.0,0.559,0.352,1.578,0.825,0.507,0.688,,,
normalized_trrosettarna_3D2V_4.pdb,12.434,4.64628335805628e-13,0.229,0.387,0.0,0.274,54.22,61.15,0.234,0.078,0.169,0.273,0.416,0.0,0.203,1.356,2.068,0.378,0.536,0.752,,,
normalized_trrosettarna_3D2V_5.pdb,12.446,4.868883074493624e-13,0.259,0.0,0.077,0.361,48.084,62.4,0.237,0.078,0.156,0.286,0.429,0.0,0.199,1.362,2.02,0.331,0.516,0.746,,,
normalized_3drna_3D2V_3.pdb,16.354,3.468450839871906e-07,0.579,0.671,0.0,0.623,28.223,31.67,0.208,0.143,0.169,0.221,0.299,0.0,0.219,1.706,1.924,1.012,0.297,0.544,,,
normalized_rnacomposer_3D2V.pdb,16.68,8.674213582415824e-07,0.579,0.586,0.16,0.638,28.806,23.08,0.27,0.195,0.208,0.247,0.429,0.0,0.248,1.705,1.829,1.191,0.41,0.607,,,
normalized_3drna_3D2V_4.pdb,16.899,1.577012649078835e-06,0.272,0.298,0.0,0.306,62.125,43.53,0.201,0.117,0.169,0.208,0.312,0.0,0.202,1.724,2.317,0.636,0.148,0.456,,,
normalized_vfold_3D2V_5.pdb,17.772,1.4875786566670436e-05,0.478,0.586,0.0,0.516,37.182,33.37,0.214,0.117,0.182,0.208,0.351,0.0,0.205,1.851,1.975,1.08,0.009,0.529,,,
normalized_vfoldpipeline_3D2V_1.pdb,17.844,1.7721437845730215e-05,0.49,0.616,0.0,0.509,36.404,32.32,0.185,0.091,0.143,0.195,0.312,0.0,0.188,1.793,1.927,0.951,0.277,0.542,,,
normalized_mcsym_3D2V_2.pdb,18.275,4.890943850821561e-05,0.392,0.175,0.0,0.542,46.651,36.99,0.162,0.091,0.117,0.169,0.273,0.0,0.185,1.925,2.329,1.608,0.01,0.521,,,
normalized_mcsym_3D2V_1.pdb,18.391,6.364362295313564e-05,0.36,0.172,0.0,0.487,51.097,39.46,0.143,0.065,0.104,0.156,0.247,0.0,0.193,1.949,2.328,1.476,0.003,0.498,,,
normalized_mcsym_3D2V_3.pdb,18.775,0.000148322905319,0.344,0.129,0.0,0.483,54.651,39.8,0.172,0.117,0.13,0.156,0.286,0.0,0.188,1.961,2.373,1.558,0.002,0.5,,,
normalized_mcsym_3D2V_5.pdb,20.241,0.0025276458475587,0.334,0.132,0.0,0.465,60.579,40.12,0.208,0.065,0.13,0.247,0.39,0.0,0.204,2.108,2.339,1.6,0.002,0.482,,,
normalized_mcsym_3D2V_4.pdb,22.313,0.0492166851892937,0.412,0.134,0.0,0.585,54.126,40.28,0.204,0.091,0.117,0.234,0.377,0.0,0.22,2.304,2.307,1.777,0.003,0.502,,,
normalized_3drna_3D2V_5.pdb,23.896,0.2197107451653339,0.482,0.559,0.0,0.518,49.583,34.42,0.188,0.13,0.143,0.195,0.286,0.0,0.186,2.424,2.057,1.013,0.295,0.522,,,
normalized_vfoldpipeline_3D2V_2.pdb,24.21,0.2747474283320742,0.494,0.632,0.0,0.502,49.04,30.17,0.182,0.104,0.156,0.195,0.273,0.0,0.17,2.419,1.934,0.962,0.246,0.516,,,
normalized_3drna_3D2V_2.pdb,24.234,0.2791577227014749,0.508,0.58,0.0,0.552,47.687,37.01,0.182,0.117,0.143,0.195,0.273,0.0,0.174,2.455,2.004,1.098,0.317,0.55,,,
normalized_vfold_3D2V_4.pdb,24.868,0.4079299863237489,0.498,0.572,0.0,0.532,49.957,30.65,0.204,0.104,0.143,0.221,0.351,0.0,0.198,2.562,1.982,1.162,0.001,0.538,,,
normalized_vfoldpipeline_3D2V_3.pdb,26.289,0.7110759780582496,0.504,0.615,0.0,0.533,52.196,33.87,0.198,0.091,0.156,0.221,0.325,0.0,0.197,2.669,1.889,0.811,0.244,0.539,,,
normalized_simrna_3D2V.pdb,26.799,0.7995183832758654,0.527,0.516,0.0,0.597,50.864,26.45,0.185,0.078,0.13,0.221,0.312,0.0,0.19,2.757,2.133,1.556,0.02,0.537,,,
normalized_vfold_3D2V_2.pdb,26.885,0.8125549672785207,0.502,0.616,0.0,0.525,53.597,30.48,0.201,0.117,0.143,0.195,0.351,0.0,0.205,2.755,1.977,1.186,0.008,0.529,,,
normalized_vfold_3D2V_3.pdb,26.995,0.828648885729121,0.445,0.6,0.0,0.452,60.596,31.31,0.204,0.078,0.169,0.221,0.351,0.0,0.203,2.769,1.93,1.117,0.002,0.555,,,
normalized_vfold_3D2V_1.pdb,27.424,0.882358407244836,0.465,0.58,0.0,0.484,59.016,33.55,0.201,0.104,0.156,0.208,0.338,0.0,0.22,2.794,1.968,1.056,0.0,0.551,,,
normalized_3drna_3D2V_1.pdb,28.117,0.942002993692192,0.512,0.586,0.0,0.546,54.935,39.62,0.217,0.117,0.169,0.208,0.377,0.0,0.16,2.87,1.97,0.922,0.304,0.551,,,
normalized_rnajp_3D2V.pdb,28.403,0.9582561460366408,0.583,0.572,0.16,0.645,48.756,26.09,0.234,0.143,0.195,0.221,0.377,0.0,0.179,2.881,1.898,1.674,0.015,0.552,,,
normalized_isrna_3D2V.pdb,32.196,0.9999379666632222,0.535,0.632,0.0,0.569,60.184,25.43,0.217,0.13,0.182,0.234,0.325,0.0,0.199,3.277,1.867,1.359,0.322,0.522,,,
normalized_alphafold3_3D2V_1.pdb,4.192,0.0,0.796,0.953,0.555,0.787,5.267,15.41,0.685,0.338,0.623,0.818,0.961,0.0,0.642,0.401,1.127,1.836,0.687,0.818,0.0,100.0,77.0
