,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD
normalized_trrosettarna_4PQV_2.pdb,3.37,0.0,0.525,0.758,0.0,0.476,6.416,34.08,0.676,0.221,0.574,0.912,1.0,0.0,0.587,0.305,1.512,1.069,0.61,0.763
normalized_trrosettarna_4PQV_3.pdb,4.044,0.0,0.574,0.726,0.0,0.557,7.048,38.27,0.669,0.191,0.544,0.941,1.0,0.0,0.589,0.318,1.519,1.08,0.576,0.741
normalized_trrosettarna_4PQV_4.pdb,8.204,0.0,0.483,0.621,0.0,0.506,16.985,38.35,0.588,0.206,0.559,0.75,0.838,0.0,0.537,0.824,1.606,0.758,0.571,0.733
normalized_trrosettarna_4PQV_5.pdb,8.242,0.0,0.467,0.655,0.0,0.452,17.634,41.09,0.588,0.191,0.559,0.75,0.853,0.0,0.517,0.821,1.712,0.776,0.536,0.687
normalized_trrosettarna_4PQV_1.pdb,15.329,3.666644515731843e-06,0.267,0.154,0.0,0.363,57.421,62.59,0.257,0.073,0.162,0.338,0.456,0.0,0.168,1.597,1.917,0.412,0.503,0.729
normalized_mcsym_4PQV_4.pdb,17.59,0.0006236918167135,0.397,0.238,0.236,0.481,44.26,38.02,0.246,0.132,0.221,0.294,0.338,0.0,0.227,1.784,2.144,1.728,0.011,0.58
normalized_mcsym_4PQV_5.pdb,18.131,0.0017086529811347,0.433,0.238,0.289,0.527,41.893,42.53,0.202,0.176,0.191,0.206,0.235,0.0,0.197,1.877,2.112,1.72,0.002,0.576
normalized_mcsym_4PQV_1.pdb,18.23,0.0020361958858549,0.382,0.238,0.0,0.476,47.77,40.09,0.224,0.162,0.191,0.25,0.294,0.0,0.178,1.828,2.204,1.787,0.004,0.571
normalized_mcsym_4PQV_3.pdb,18.231,0.0020397331908443,0.459,0.223,0.289,0.571,39.746,38.67,0.254,0.147,0.221,0.294,0.353,0.0,0.25,1.867,2.123,1.868,0.005,0.583
normalized_mcsym_4PQV_2.pdb,18.369,0.0025948776332568,0.447,0.228,0.0,0.569,41.057,37.68,0.254,0.162,0.206,0.279,0.368,0.0,0.224,1.868,2.126,1.816,0.001,0.603
normalized_rhofold_4PQV.pdb,18.454,0.0029994244821783,0.519,0.154,0.289,0.636,35.555,66.5,0.257,0.118,0.206,0.309,0.397,0.0,0.238,1.892,1.984,1.096,0.0,0.577
normalized_3drna_4PQV_2.pdb,19.502,0.0151605937743296,0.334,0.252,0.0,0.389,58.369,39.96,0.188,0.103,0.162,0.221,0.265,0.0,0.146,1.998,2.092,0.872,0.215,0.542
normalized_vfold_4PQV_3.pdb,19.77,0.0218660797666596,0.407,0.292,0.0,0.481,48.576,29.9,0.232,0.118,0.221,0.279,0.309,0.0,0.208,2.069,2.017,1.024,0.004,0.577
normalized_rnacomposer_4PQV.pdb,20.522,0.0548917975814263,0.419,0.273,0.577,0.472,48.979,32.18,0.21,0.103,0.176,0.25,0.309,0.0,0.237,2.166,2.083,1.251,0.32,0.567
normalized_3drna_4PQV_3.pdb,21.115,0.1021767855241828,0.386,0.292,0.0,0.451,54.638,41.25,0.213,0.132,0.206,0.235,0.279,0.0,0.181,2.128,2.013,1.158,0.271,0.564
normalized_3drna_4PQV_4.pdb,21.115,0.1021767855241828,0.386,0.292,0.0,0.451,54.638,41.25,0.213,0.132,0.206,0.235,0.279,0.0,0.181,2.128,2.013,1.158,0.271,0.564
normalized_vfold_4PQV_2.pdb,21.42,0.1356321207848946,0.403,0.282,0.0,0.485,53.116,34.19,0.191,0.073,0.162,0.235,0.294,0.0,0.178,2.202,2.022,1.01,0.002,0.569
normalized_3drna_4PQV_5.pdb,21.478,0.1427601969774323,0.38,0.242,0.408,0.45,56.54,41.46,0.213,0.118,0.206,0.235,0.294,0.0,0.213,2.152,2.026,0.926,0.259,0.539
normalized_vfold_4PQV_1.pdb,21.518,0.1479284858872119,0.381,0.282,0.0,0.452,56.521,28.57,0.228,0.118,0.191,0.25,0.353,0.0,0.185,2.241,2.1,1.084,0.003,0.582
normalized_vfoldpipeline_4PQV_1.pdb,22.174,0.2479161671961449,0.378,0.303,0.0,0.424,58.612,32.66,0.213,0.118,0.162,0.235,0.338,0.0,0.179,2.29,1.996,0.988,0.276,0.554
normalized_vfoldpipeline_4PQV_3.pdb,22.33,0.2761694379448287,0.399,0.303,0.0,0.48,55.985,33.58,0.184,0.073,0.162,0.221,0.279,0.0,0.167,2.272,1.966,0.866,0.258,0.557
normalized_vfoldpipeline_4PQV_2.pdb,23.436,0.5079175242446607,0.423,0.282,0.0,0.502,55.367,29.59,0.239,0.103,0.221,0.25,0.382,0.0,0.19,2.417,1.933,0.989,0.274,0.566
normalized_simrna_4PQV.pdb,24.688,0.7628333001716512,0.42,0.218,0.0,0.544,58.717,25.88,0.206,0.147,0.176,0.235,0.265,0.0,0.196,2.536,2.214,1.788,0.063,0.594
normalized_rnajp_4PQV.pdb,26.01,0.926490334683848,0.516,0.233,0.0,0.66,50.394,24.31,0.25,0.132,0.221,0.294,0.353,0.0,0.206,2.665,1.989,1.926,0.015,0.593
normalized_isrna_4PQV.pdb,26.429,0.9537823482357636,0.513,0.282,0.0,0.615,51.536,26.06,0.272,0.147,0.25,0.309,0.382,0.0,0.234,2.721,1.902,1.53,0.321,0.579
normalized_3drna_4PQV_1.pdb,28.402,0.9972725873493172,0.326,0.233,0.0,0.397,87.01,43.89,0.202,0.088,0.162,0.235,0.324,0.0,0.17,2.88,2.009,0.76,0.253,0.566
normalized_vfold_4PQV_4.pdb,37.518,0.9999999999999978,0.399,0.282,0.0,0.493,94.043,34.64,0.21,0.118,0.191,0.235,0.294,0.0,0.187,3.815,1.982,1.095,0.004,0.578
