,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_3drna_4RUM_5.pdb,,,0.761,0.966,0.0,0.708,,,0.104,0.055,0.077,0.132,0.154,0.0,0.222,1.97,1.403,2.084,0.495,0.022,,,
normalized_trrosettarna_4RUM_3.pdb,,,0.606,0.799,0.25,0.554,,,0.137,0.066,0.11,0.176,0.198,0.0,0.62,0.368,1.512,1.841,0.597,0.022,,,
normalized_vfold_4RUM_3.pdb,,,0.716,0.966,0.0,0.63,,,0.115,0.066,0.099,0.132,0.165,0.0,0.382,0.875,1.418,1.917,0.004,0.023,,,
normalized_rhofold_4RUM.pdb,,,0.366,0.0,0.0,0.576,,,0.118,0.044,0.077,0.143,0.209,0.0,0.278,,,1.281,0.0,0.041,,,
normalized_3drna_4RUM_4.pdb,,,0.645,0.894,0.0,0.582,,,0.124,0.066,0.11,0.143,0.176,0.0,0.243,1.728,1.675,1.576,0.426,0.017,,,
normalized_3drna_4RUM_1.pdb,,,0.703,0.84,0.204,0.687,,,0.121,0.077,0.088,0.143,0.176,0.0,0.322,1.976,1.543,1.759,0.439,0.02,,,
normalized_isrna_4RUM.pdb,,,0.73,0.966,0.0,0.659,,,0.118,0.066,0.088,0.132,0.187,0.0,0.264,1.762,1.383,2.242,0.41,0.023,,,
normalized_trrosettarna_4RUM_2.pdb,,,0.626,0.838,0.0,0.594,,,0.137,0.066,0.11,0.176,0.198,0.0,0.635,0.358,1.476,1.86,0.605,0.022,,,
normalized_rnacomposer_4RUM.pdb,,,0.716,0.933,0.289,0.649,,,0.121,0.066,0.099,0.143,0.176,0.0,0.281,1.969,1.382,2.099,0.532,0.024,,,
normalized_rnajp_4RUM.pdb,,,0.828,0.949,0.577,0.792,,,0.121,0.066,0.11,0.143,0.165,0.0,0.352,0.963,1.043,2.69,0.048,0.024,,,
normalized_simrna_4RUM.pdb,,,0.769,0.864,,0.75,,,0.126,0.066,0.121,0.143,0.176,0.0,0.345,1.378,1.422,2.56,0.084,0.021,,,
normalized_vfoldpipeline_4RUM.pdb,,,0.892,1.0,0.866,0.852,,,0.118,0.077,0.088,0.132,0.176,0.0,0.695,0.424,0.863,2.65,0.769,0.021,,,
normalized_vfold_4RUM_5.pdb,,,0.713,0.949,0.0,0.643,,,0.115,0.066,0.099,0.121,0.176,0.0,0.369,1.795,1.419,1.857,0.002,0.024,,,
normalized_vfold_4RUM_2.pdb,,,0.744,0.933,0.0,0.705,,,0.121,0.077,0.099,0.132,0.176,0.0,0.475,0.576,1.386,1.895,0.002,0.022,,,
normalized_trrosettarna_4RUM_1.pdb,,,0.77,0.918,0.0,0.74,,,0.14,0.066,0.121,0.176,0.198,0.0,0.633,0.362,1.198,2.483,0.631,0.021,,,
normalized_3drna_4RUM_3.pdb,,,0.619,0.816,0.0,0.589,,,0.124,0.066,0.11,0.143,0.176,0.0,0.294,1.656,1.746,1.445,0.388,0.021,,,
normalized_vfold_4RUM_1.pdb,,,0.704,0.966,0.0,0.623,,,0.115,0.066,0.088,0.143,0.165,0.0,0.401,0.856,1.348,1.79,0.002,0.023,,,
normalized_vfold_4RUM_4.pdb,,,0.748,0.949,0.289,0.681,,,0.115,0.066,0.088,0.143,0.165,0.0,0.361,1.604,1.432,1.973,0.007,0.023,,,
normalized_trrosettarna_4RUM_4.pdb,,,0.369,0.211,0.0,0.475,,,0.088,0.055,0.066,0.088,0.143,0.0,0.175,2.05,1.867,0.538,0.504,0.02,,,
normalized_3drna_4RUM_2.pdb,,,0.599,0.816,0.25,0.535,,,0.118,0.077,0.099,0.11,0.187,0.0,0.24,1.943,1.745,1.414,0.35,0.013,,,
normalized_trrosettarna_4RUM_5.pdb,,,0.291,0.0,0.0,0.402,,,0.085,0.055,0.066,0.088,0.132,0.0,0.175,2.06,1.934,0.558,0.483,0.024,,,
normalized_alphafold3_4RUM_1.pdb,,,0.863,0.968,0.866,0.824,,,0.132,0.066,0.11,0.154,0.198,0.0,0.623,0.424,0.97,3.126,0.709,0.022,0.0,69.565,64.0
