,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_trrosettarna_7ELQ_3.pdb,2.192,0.0,0.687,0.667,0.408,0.743,3.19,25.91,0.489,0.2,0.356,0.444,0.956,0.0,0.558,0.193,1.384,0.867,0.695,0.05,,,
normalized_trrosettarna_7ELQ_1.pdb,2.207,0.0,0.737,0.829,0.25,0.761,2.994,25.71,0.478,0.178,0.356,0.422,0.956,0.0,0.583,0.18,1.063,1.077,0.714,0.049,,,
normalized_trrosettarna_7ELQ_2.pdb,2.252,0.0,0.624,0.791,0.189,0.639,3.611,29.5,0.483,0.178,0.356,0.444,0.956,0.0,0.592,0.192,1.217,0.89,0.695,0.051,,,
normalized_simrna_7ELQ.pdb,4.876,3.8036240823657873e-13,0.723,0.688,0.0,0.789,6.747,19.91,0.333,0.178,0.222,0.289,0.644,0.0,0.288,0.495,1.61,1.277,0.011,0.049,,,
normalized_mcsym_7ELQ_3.pdb,6.253,7.611811181362782e-11,0.571,0.528,0.289,0.619,10.959,32.15,0.389,0.156,0.244,0.422,0.733,0.0,0.3,0.654,1.67,0.884,0.001,0.043,,,
normalized_rnajp_7ELQ.pdb,6.554,2.248917163605313e-10,0.731,0.775,0.289,0.755,8.97,23.75,0.306,0.156,0.244,0.311,0.511,0.0,0.287,0.662,1.426,1.244,0.028,0.052,,,
normalized_vfold_7ELQ_1.pdb,6.606,2.7018270953860224e-10,0.73,0.802,,0.738,9.044,28.05,0.289,0.156,0.222,0.311,0.467,0.0,0.282,0.679,1.312,0.841,0.014,0.053,,,
normalized_mcsym_7ELQ_2.pdb,7.432,4.514328244553667e-09,0.624,0.485,0.289,0.718,11.916,33.24,0.306,0.111,0.2,0.311,0.6,0.0,0.262,0.791,1.608,0.929,0.005,0.049,,,
normalized_mcsym_7ELQ_5.pdb,7.549,6.603712354724678e-09,0.617,0.401,0.354,0.732,12.225,32.34,0.339,0.156,0.222,0.378,0.6,0.0,0.288,0.819,1.622,0.981,0.004,0.045,,,
normalized_mcsym_7ELQ_1.pdb,7.567,7.003687074735865e-09,0.571,0.528,0.289,0.619,13.261,32.73,0.317,0.133,0.222,0.333,0.578,0.0,0.276,0.784,1.646,0.911,0.005,0.044,,,
normalized_vfold_7ELQ_2.pdb,7.71,1.1107383512953817e-08,0.626,0.735,0.0,0.633,12.314,27.67,0.311,0.133,0.244,0.378,0.489,0.0,0.261,0.823,1.464,1.005,0.009,0.05,,,
normalized_vfold_7ELQ_5.pdb,7.877,1.8856482930651453e-08,0.713,0.802,0.354,0.706,11.043,26.26,0.278,0.156,0.2,0.289,0.467,0.0,0.266,0.791,1.426,0.913,0.003,0.046,,,
normalized_3drna_7ELQ_4.pdb,7.904,2.0581821746912258e-08,0.721,0.802,0.5,0.707,10.96,25.23,0.306,0.111,0.2,0.4,0.511,0.0,0.292,0.854,1.501,1.085,0.525,0.053,,,
normalized_vfoldpipeline_7ELQ_2.pdb,8.395,9.293433778090333e-08,0.709,0.839,0.0,0.712,11.838,21.64,0.289,0.178,0.222,0.289,0.467,0.0,0.284,0.868,1.553,1.277,0.538,0.042,,,
normalized_vfold_7ELQ_3.pdb,8.514,1.3224497330543985e-07,0.655,0.802,,0.621,12.998,30.38,0.278,0.156,0.244,0.289,0.422,0.0,0.239,0.897,1.553,0.91,0.003,0.052,,,
normalized_3drna_7ELQ_2.pdb,8.697,2.2651000269879878e-07,0.675,0.775,0.354,0.659,12.884,27.32,0.283,0.133,0.2,0.311,0.489,0.0,0.248,0.901,1.49,1.155,0.522,0.054,,,
normalized_3drna_7ELQ_5.pdb,8.899,4.041653711706062e-07,0.692,0.802,0.289,0.686,12.853,27.9,0.278,0.111,0.2,0.311,0.489,0.0,0.255,0.938,1.436,1.138,0.525,0.055,,,
normalized_rhofold_7ELQ.pdb,8.956,4.754489035807552e-07,0.605,0.612,0.0,0.695,14.808,55.96,0.283,0.156,0.222,0.289,0.467,0.0,0.263,0.941,1.801,0.558,0.456,0.051,,,
normalized_isrna_7ELQ.pdb,9.129,7.71643982655501e-07,0.727,0.775,0.0,0.767,12.55,18.87,0.328,0.178,0.267,0.333,0.533,0.0,0.29,0.963,1.485,1.095,0.498,0.05,,,
normalized_3drna_7ELQ_1.pdb,9.143,8.022815253250215e-07,0.752,0.802,0.354,0.766,12.154,29.56,0.339,0.133,0.2,0.4,0.622,0.0,0.269,0.99,1.412,0.989,0.492,0.043,,,
normalized_rnacomposer_7ELQ.pdb,9.305,1.254540104134172e-06,0.711,0.802,0.289,0.715,13.087,21.78,0.289,0.156,0.244,0.289,0.467,0.0,0.234,0.989,1.368,0.892,0.6,0.055,,,
normalized_vfoldpipeline_7ELQ_1.pdb,9.365,1.474109716959049e-06,0.704,0.802,0.0,0.722,13.299,22.34,0.289,0.178,0.222,0.289,0.467,0.0,0.292,0.982,1.518,1.24,0.563,0.041,,,
normalized_trrosettarna_7ELQ_5.pdb,9.621,2.9234218152374147e-06,0.36,,0.0,0.487,26.723,59.37,0.228,0.111,0.178,0.2,0.422,0.0,0.141,1.119,1.955,0.214,0.516,0.05,,,
normalized_trrosettarna_7ELQ_4.pdb,9.762,4.224514303374782e-06,0.3,0.0,0.0,0.458,32.536,66.71,0.228,0.111,0.156,0.222,0.422,0.0,0.165,1.125,1.89,0.23,0.514,0.047,,,
normalized_mcsym_7ELQ_4.pdb,9.92,6.334786323780595e-06,0.591,0.485,0.354,0.659,16.783,34.93,0.289,0.111,0.2,0.289,0.556,0.0,0.229,1.047,1.632,0.891,0.004,0.046,,,
normalized_vfold_7ELQ_4.pdb,10.513,2.7097033825584926e-05,0.634,0.802,0.0,0.612,16.585,29.32,0.278,0.156,0.222,0.267,0.467,0.0,0.219,1.103,1.601,0.805,0.004,0.049,,,
normalized_3drna_7ELQ_3.pdb,16.601,0.2565358042853445,0.676,0.722,0.354,0.686,24.554,30.27,0.217,0.111,0.178,0.244,0.333,0.0,0.242,1.774,1.452,0.823,0.461,0.041,,,
normalized_alphafold3_7ELQ_2.pdb,1.565,0.0,0.86,0.875,0.707,0.87,1.82,13.71,0.494,0.222,0.356,0.444,0.956,0.0,0.556,0.162,0.533,1.384,0.857,0.052,0.0,100.0,45.0
normalized_alphafold3_7ELQ_5.pdb,1.586,0.0,0.877,0.91,0.707,0.881,1.808,13.69,0.494,0.222,0.356,0.444,0.956,0.0,0.563,0.165,0.539,1.377,0.825,0.051,0.0,100.0,45.0
normalized_alphafold3_7ELQ_4.pdb,1.626,0.0,0.867,0.875,0.707,0.881,1.875,13.77,0.494,0.222,0.356,0.444,0.956,0.0,0.549,0.171,0.539,1.379,0.853,0.052,0.0,100.0,45.0
normalized_alphafold3_7ELQ_1.pdb,1.657,0.0,0.877,0.91,0.707,0.881,1.889,13.94,0.489,0.2,0.356,0.444,0.956,0.0,0.537,0.172,0.558,1.371,0.849,0.052,0.0,100.0,45.0
normalized_alphafold3_7ELQ_3.pdb,1.809,0.0,0.867,0.875,0.707,0.881,2.086,13.86,0.483,0.2,0.356,0.444,0.933,0.0,0.492,0.191,0.51,1.366,0.856,0.052,0.0,100.0,45.0
