,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lDDT,TM-score,QS-score
normalized_trrosettarna_rp24_1.pdb,2.168,0.0,0.816,0.934,0.0,0.787,2.658,,0.504,0.198,0.279,0.549,0.991,0.267,-63796.7,560524.0,-0.114,0.0,0.198,0.935,4.622,-87143.721,-11060.581,0.773,0.851,0.0
normalized_trrosettarna_rp24_2.pdb,2.328,0.0,0.771,0.887,0.0,0.749,3.019,,0.507,0.198,0.27,0.568,0.991,0.266,-60774.3,560206.0,-0.108,0.0,0.205,0.978,4.345,-84742.999,-10817.892,0.763,0.85,0.0
normalized_trrosettarna_rp24_3.pdb,2.407,0.0,0.673,0.812,0.0,0.656,3.576,,0.498,0.162,0.27,0.568,0.991,0.265,-55858.2,558007.0,-0.1,0.0,0.212,1.222,3.685,-81013.872,-9835.563,0.724,0.845,0.0
normalized_trrosettarna_rp24_4.pdb,6.675,0.0,0.588,0.622,0.0,0.602,11.361,,0.381,0.126,0.198,0.396,0.802,0.256,-40040.8,557138.0,-0.072,0.0,0.751,1.466,2.516,-72405.67,-8422.422,0.648,0.643,0.0
normalized_3drna_rp24_1.pdb,8.541,0.0,0.79,0.863,0.0,0.778,10.815,,0.311,0.108,0.153,0.342,0.64,0.252,-51401.6,594094.0,-0.087,0.0,0.898,1.148,3.832,-84978.147,-10842.695,0.614,0.456,0.0
normalized_3drna_rp24_2.pdb,12.382,0.0,0.805,0.899,0.0,0.782,15.38,,0.216,0.09,0.126,0.252,0.396,0.248,-52767.6,598223.0,-0.088,0.0,1.299,1.306,3.817,-89208.244,-9876.618,0.6,0.345,0.0
normalized_3drna_rp24_4.pdb,12.534,0.0,0.789,0.899,0.0,0.76,15.895,,0.245,0.09,0.144,0.297,0.451,0.251,-50848.1,595388.0,-0.085,0.0,1.326,1.184,3.914,-85570.963,-10072.783,0.598,0.37,0.0
normalized_vfold_rp24.pdb,12.622,0.0,0.792,0.945,0.0,0.741,15.935,,0.286,0.099,0.171,0.369,0.504,0.252,-61256.9,511637.0,-0.12,0.0,1.306,1.09,3.44,-78932.662,-10329.297,0.003,0.394,0.0
normalized_rnacomposer_rp24.pdb,12.991,0.0,0.818,0.946,0.0,0.774,15.885,,0.281,0.099,0.153,0.342,0.531,0.265,-63601.4,539520.0,-0.118,0.0,1.327,1.07,3.552,-88844.872,-11878.19,0.675,0.399,0.0
normalized_3drna_rp24_5.pdb,13.542,0.0,0.78,0.911,0.0,0.744,17.355,,0.234,0.099,0.126,0.297,0.414,0.249,-52944.3,613381.0,-0.086,0.0,1.405,1.284,3.708,-89383.494,-10006.474,0.606,0.36,0.0
normalized_trrosettarna_rp24_5.pdb,14.43,0.0,0.371,0.253,0.0,0.497,38.918,,0.151,0.045,0.09,0.153,0.315,0.254,-27891.7,555704.0,-0.05,0.0,1.591,1.787,0.851,-63045.586,-6999.526,0.553,0.187,0.0
normalized_3drna_rp24.pdb,14.858,0.0,0.834,0.876,0.0,0.828,17.825,,0.239,0.09,0.108,0.279,0.477,0.254,-58109.9,550574.0,-0.106,0.0,1.53,1.1,4.071,-87770.812,-10254.602,0.632,0.291,0.0
normalized_isrna_rp24.pdb,15.127,0.0,0.818,0.946,0.0,0.771,18.496,,0.255,0.099,0.144,0.351,0.423,0.259,-62657.1,529037.0,-0.118,0.0,1.662,1.138,4.563,-87803.631,-11242.501,0.572,0.362,0.0
normalized_3drna_rp24_3.pdb,16.891,3.3306690738754696e-16,0.708,0.838,0.0,0.698,23.849,,0.288,0.081,0.153,0.342,0.577,0.246,-39281.4,714001.0,-0.055,0.0,1.728,1.475,2.942,-86730.948,-10524.828,0.472,0.439,0.0
normalized_mcsym_rp24_2.pdb,17.284,1.887379141862766e-15,0.833,0.957,0.0,0.783,20.754,,0.259,0.063,0.144,0.27,0.559,0.25,-51116.5,535618.0,-0.095,0.0,1.801,1.024,5.075,-77579.2,-9499.96,0.005,0.386,0.0
normalized_mcsym_rp24_3.pdb,19.369,1.0268563777060535e-11,0.823,0.934,0.0,0.792,23.534,,0.277,0.09,0.153,0.36,0.504,0.255,-55599.1,567597.0,-0.098,0.0,2.015,1.09,4.484,-80927.954,-11120.253,0.009,0.35,0.0
normalized_mcsym_rp24_5.pdb,19.57,2.1907253788810976e-11,0.823,0.957,0.289,0.782,23.772,,0.241,0.063,0.099,0.297,0.504,0.256,-55215.8,567904.0,-0.097,0.0,2.003,1.106,4.513,-80626.104,-10281.859,0.004,0.331,0.0
normalized_mcsym_rp24_1.pdb,19.72,3.833766637484359e-11,0.841,0.946,0.0,0.816,23.455,,0.232,0.09,0.144,0.279,0.414,0.254,-57876.9,579976.0,-0.1,0.0,2.071,1.12,4.645,-82586.645,-10720.917,0.002,0.333,0.0
normalized_rnajp_rp24.pdb,20.199,2.1753793211232164e-10,0.873,0.946,,0.851,23.148,,0.239,0.063,0.135,0.306,0.451,0.251,-75770.5,530140.0,-0.143,0.0,2.175,0.992,6.311,-91879.699,-14314.966,0.398,0.415,0.0
normalized_mcsym_rp24_4.pdb,21.218,6.9458687690371335e-09,0.835,0.946,0.0,0.798,25.423,,0.228,0.081,0.126,0.27,0.432,0.258,-59783.3,543286.0,-0.11,0.0,2.184,1.072,4.676,-80574.235,-11095.82,0.013,0.276,0.0
normalized_rhofold_rp24.pdb,25.358,0.00036946477492544316,0.211,0.0,0.0,0.365,119.967,,0.122,0.045,0.081,0.135,0.225,0.193,10057.5,1104822.0,0.009,0.0,2.59,2.623,0.642,-93279.861,-10573.846,0.188,0.204,0.0
normalized_ifoldrna_rp24_4.pdb,29.566,0.14980679871427482,0.266,0.0,0.0,0.463,111.096,,0.099,0.063,0.081,0.108,0.144,0.231,-26760.6,490006.0,-0.055,0.0,3.028,2.354,1.187,-58731.33,-2886.145,0.002,0.152,0.0
normalized_ifoldrna_rp24_1.pdb,29.918,0.20004470759007936,0.325,0.0,0.0,0.519,91.98,,0.088,0.054,0.072,0.099,0.126,0.218,-24687.2,461180.0,-0.054,0.0,3.037,2.35,1.337,-53204.067,-2424.522,0.001,0.158,0.0
normalized_eprna_rp24.pdb,30.991,0.40301858122565215,0.0,0.0,0.0,0.0,inf,,0.068,0.027,0.045,0.072,0.126,0.164,53966.7,844067.0,0.064,0.0,3.083,2.486,0.209,-26063.489,1140.058,0.0,0.129,0.0
normalized_ifoldrna_rp24_2.pdb,31.312,0.47313399240941173,0.284,0.0,0.0,0.435,110.301,,0.095,0.054,0.081,0.099,0.144,0.218,-26212.8,479716.0,-0.055,0.0,3.193,2.332,1.265,-53388.91,-2903.478,0.004,0.191,0.0
normalized_ifoldrna_rp24_5.pdb,33.003,0.8084860115776366,0.316,0.0,0.0,0.521,104.504,,0.097,0.054,0.072,0.108,0.153,0.221,-25736.3,433513.0,-0.059,0.0,3.348,2.353,1.177,-51827.725,-2327.466,0.0,0.181,0.0
normalized_ifoldrna_rp24_3.pdb,34.818,0.9700039002979239,0.218,0.0,0.0,0.368,159.905,,0.099,0.054,0.081,0.099,0.162,0.215,-19757.9,397944.0,-0.05,0.0,3.536,2.295,0.964,-46537.742,-993.948,0.006,0.196,0.0
normalized_simrna_rp24.pdb,87.466,1.0,0.06,,0.0,0.104,1468.807,,0.063,0.036,0.054,0.063,0.099,0.225,-7014.13,140693.0,-0.05,0.0,8.576,1.843,0.147,-16253.317,-76.211,0.0,0.061,0.0
