Model,RMSD,MCQ,DI,P-VALUE,εRMSD,INF-ALL,TM-score,lDDT,GDT-TS,CAD
MC-Sym,15.266333333333332,36.55777777777777,36.086555555555556,0.10886606694466221,2.0499,0.43827272727272726,0.24381818181818182,0.010454545454545454,0.2218181818181818,0.2746363636363636
Vfold3D,18.674208333333333,30.564166666666665,39.155750000000005,0.16602278048678165,1.72504,0.5536153846153846,0.29976923076923073,0.004653846153846153,0.21115384615384616,0.305875
RNAComposer,21.78323076923077,25.041153846153843,40.876269230769225,0.24143101894027266,1.6285555555555558,0.5975357142857144,0.25160714285714286,0.4263214285714286,0.19589285714285715,0.31530769230769234
3dRNA,18.30137037037037,33.50666666666667,42.12570370370371,0.10472031644945767,1.7668214285714285,0.550344827586207,0.2721034482758621,0.36193103448275865,0.19793103448275862,0.29737037037037034
IsRNA1,23.249521739130437,24.33608695652174,40.990086956521736,0.3870941528176059,1.6957083333333334,0.6066400000000001,0.24068,0.35948,0.19048,0.295695652173913
RhoFold,10.376777777777777,57.217407407407414,33.54633333333333,0.00012099349933636148,2.0404615384615385,0.5333793103448276,0.4003793103448276,0.3476896551724138,0.27686206896551724,0.2918888888888889
trRosettaRNA,5.214888888888889,32.75185185185185,10.025074074074075,7.607083687246443e-17,1.4729642857142857,0.5593793103448277,0.6454827586206897,0.6268965517241379,0.4366551724137931,0.38537037037037036
Vfold-Pipeline,18.8446,25.2588,39.58628,0.19954132472065958,1.6227307692307693,0.5887407407407408,0.3262962962962963,0.4242222222222222,0.19914814814814813,0.28184000000000003
RNAJP,23.453818181818182,25.020454545454548,40.733681818181815,0.40504908751889707,1.5779565217391305,0.6211538461538461,0.2658846153846154,0.03169230769230769,0.2088076923076923,0.29416666666666663
AlphaFold3,6.253222222222222,14.918888888888889,10.281074074074073,0.07435136090377006,0.8782142857142857,0.807103448275862,0.6645517241379311,0.7313448275862069,0.4068965517241379,0.3971111111111111
