Model,RMSD,MCQ,DI,P-VALUE,εRMSD,INF-ALL,TM-score,lDDT,GDT-TS,CAD
MC-Sym,15.558125,34.651875,26.9798125,0.1248378227365514,1.66225,0.6171875,0.255125,0.012375,0.30825,0.5419333333333333
Vfold3D,18.01575,30.298000000000002,34.20945,0.15363769153802795,1.76505,0.5629500000000001,0.24889999999999998,0.03925,0.27625,0.5289473684210527
RNAComposer,20.40695238095238,25.35809523809524,31.66566666666667,0.25351444992778227,1.4975238095238095,0.6622272727272727,0.25172727272727274,0.4636363636363637,0.27645454545454545,0.5052857142857143
3dRNA,14.23840909090909,31.44727272727273,23.574636363636365,0.033491463399682134,1.5647272727272727,0.6548181818181819,0.30772727272727274,0.4681818181818182,0.32390909090909087,0.5343333333333333
IsRNA1,18.76025,24.3855,29.815050000000003,0.2426297278259571,1.5246,0.6752,0.25455,0.42975,0.2843,0.5219473684210526
RhoFold,9.056136363636364,52.9004761904762,19.770863636363636,0.008460057038297525,1.4744545454545455,0.6331818181818182,0.4106818181818182,0.5121363636363636,0.4014090909090909,0.5667142857142857
trRosettaRNA,5.453954545454545,32.04590909090909,9.615363636363638,0.0012285324130426477,1.3671363636363636,0.6369545454545454,0.628,0.6392272727272728,0.5949545454545455,0.6356666666666667
Vfold-Pipeline,16.780809523809523,23.815714285714286,28.229142857142858,0.19354934531897106,1.4241904761904762,0.6949047619047619,0.35647619047619045,0.4652857142857143,0.36942857142857144,0.58145
RNAJP,22.369166666666665,25.848333333333333,37.02133333333333,0.18546173192461188,1.6212777777777778,0.5915,0.23386363636363636,0.0595,0.25036363636363634,0.4810952380952381
AlphaFold3,6.631857142857143,16.18,8.101809523809525,0.008571125961141617,0.8842380952380952,0.8303636363636364,0.5650454545454546,0.7037727272727273,0.5462727272727274,0.7017142857142857
