,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lDDT,TM-score,QS-score
normalized_trrosettarna_rp14_bound_1.pdb,2.082,0.0,0.674,0.843,0.53,0.638,3.091,29.36,0.885,0.607,0.934,1.0,1.0,0.853,-22624.9,269049.0,-0.084,0.0,0.169,1.27,1.048,-37841.052,-5505.95,0.706,0.806,0.0
normalized_trrosettarna_rp14_bound_3.pdb,2.385,0.0,0.728,0.877,0.474,0.712,3.279,36.02,0.865,0.525,0.934,1.0,1.0,0.848,-21437.1,268811.0,-0.08,0.0,0.194,1.118,1.066,-36323.02,-5107.062,0.678,0.786,0.0
normalized_vfoldpipeline_rp14_bound.pdb,2.631,0.0,0.908,0.97,0.75,0.913,2.897,17.31,0.77,0.361,0.738,0.984,1.0,0.887,-25021.6,275612.0,-0.091,0.0,0.216,0.552,1.502,-42947.317,-5971.11,0.785,0.665,0.0
normalized_trrosettarna_rp14_bound_4.pdb,2.699,0.0,0.556,0.767,0.177,0.541,4.855,31.63,0.865,0.557,0.902,1.0,1.0,0.81,-16559.0,268368.0,-0.062,0.0,0.194,1.486,0.844,-34200.037,-4223.511,0.64,0.778,0.0
normalized_trrosettarna_rp14_bound_2.pdb,2.76,0.0,0.604,0.84,0.25,0.592,4.573,29.19,0.853,0.508,0.902,1.0,1.0,0.836,-23088.1,267007.0,-0.086,0.0,0.207,1.282,1.141,-37362.575,-5418.631,0.691,0.764,0.0
normalized_rhofold_rp14_bound.pdb,6.433,0.0,0.679,0.824,0.144,0.71,9.474,57.6,0.451,0.164,0.328,0.492,0.82,0.734,-20650.8,275521.0,-0.075,0.0,0.648,1.294,1.029,-37513.003,-5183.047,0.586,0.31,0.0
normalized_trrosettarna_rp14_bound_5.pdb,9.915,1.817423989081135e-11,0.263,,0.0,0.365,37.735,56.94,0.336,0.115,0.23,0.393,0.607,0.791,-9949.72,268201.0,-0.037,0.0,1.141,1.867,0.318,-29661.31,-3511.063,0.525,0.22,0.0
normalized_mcsym_rp14_bound_1.pdb,12.236,4.947285742185059e-08,0.568,0.779,0.0,0.544,21.554,35.68,0.311,0.131,0.246,0.41,0.459,0.685,-20130.5,275469.0,-0.073,0.0,1.272,1.606,1.345,-37029.031,-5821.073,0.011,0.229,0.0
normalized_3drna_rp14_bound_3.pdb,12.392,7.941024571245237e-08,0.608,0.874,0.0,0.576,20.376,31.76,0.266,0.131,0.197,0.295,0.443,0.644,-14847.5,319339.0,-0.046,0.0,1.236,1.675,0.884,-40532.172,-4249.223,0.376,0.198,0.0
normalized_isrna_rp14_bound.pdb,13.497,1.8457256907855601e-06,0.743,0.97,,0.72,18.171,18.55,0.332,0.18,0.279,0.311,0.557,0.715,-28269.8,226621.0,-0.125,0.0,1.333,1.247,1.391,-38579.43,-5498.671,0.527,0.233,0.0
normalized_mcsym_rp14_bound_3.pdb,14.032,7.429732687691537e-06,0.549,0.779,0.0,0.518,25.542,35.43,0.283,0.131,0.23,0.311,0.459,0.631,-25082.2,273941.0,-0.092,0.0,1.421,1.586,1.414,-38541.108,-5892.203,0.007,0.208,0.0
normalized_rnajp_rp14_bound.pdb,14.478,2.2249128121598627e-05,0.615,0.759,0.0,0.625,23.527,23.6,0.307,0.164,0.246,0.328,0.492,0.689,-28508.2,266512.0,-0.107,0.0,1.483,1.56,1.592,-40260.298,-6044.188,0.037,0.234,0.0
normalized_3drna_rp14_bound_2.pdb,14.607,3.0169854400186047e-05,0.604,0.843,0.0,0.566,24.188,32.82,0.242,0.147,0.213,0.279,0.328,0.618,-9778.17,246968.0,-0.04,0.0,1.5,1.601,0.974,-31729.814,-2390.17,0.357,0.172,0.0
normalized_mcsym_rp14_bound_4.pdb,14.655,3.376066574800607e-05,0.573,0.8,0.0,0.544,25.595,36.74,0.295,0.164,0.23,0.311,0.475,0.648,-25217.3,254978.0,-0.099,0.0,1.523,1.635,1.296,-37094.484,-5602.45,0.021,0.21,0.0
