,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lDDT,TM-score,QS-score
normalized_trrosettarna_rp14_free_1.pdb,2.526,0.0,0.647,0.869,0.0,0.618,3.901,,0.869,0.571,0.905,1.0,1.0,0.289,-22630.1,256586.0,-0.088,0.0,0.207,1.21,1.035,-37189.41,-5329.718,0.709,0.662,0.0
normalized_trrosettarna_rp14_free_2.pdb,2.661,0.0,0.521,0.754,0.204,0.483,5.106,,0.845,0.476,0.905,1.0,1.0,0.284,-22155.1,257194.0,-0.086,0.0,0.207,1.397,0.845,-36504.791,-5040.503,0.696,0.67,0.0
normalized_vfoldpipeline_rp14_free.pdb,2.726,0.0,0.87,0.938,0.913,0.841,3.133,,0.881,0.619,0.905,1.0,1.0,0.287,-24967.4,261834.0,-0.095,0.0,0.237,0.75,1.314,-40589.392,-6204.437,0.651,0.626,0.0
normalized_trrosettarna_rp14_free_3.pdb,2.803,0.0,0.504,0.603,0.365,0.49,5.565,,0.857,0.476,0.952,1.0,1.0,0.27,-19382.7,255631.0,-0.076,0.0,0.234,1.357,0.708,-34000.149,-5157.572,0.668,0.611,0.0
normalized_3drna_rp14_free_1.pdb,3.767,0.0,0.884,0.938,0.913,0.86,4.262,,0.952,0.857,0.952,1.0,1.0,0.312,-26185.2,281575.0,-0.093,0.0,0.389,0.653,1.202,-43365.512,-7636.001,0.834,0.528,0.0
normalized_mcsym_rp14_free_4.pdb,13.22,5.682987474886492e-06,0.682,0.86,0.236,0.659,19.379,,0.798,0.571,0.762,0.857,1.0,0.301,-24565.1,228473.0,-0.108,0.0,1.413,1.327,1.263,-33553.555,-5723.01,0.012,0.244,0.0
normalized_rnacomposer_rp14_free.pdb,14.399,9.409515041597372e-05,0.784,0.97,0.408,0.748,18.373,,0.869,0.619,0.857,1.0,1.0,0.298,-24089.1,247834.0,-0.097,0.0,1.486,1.196,0.99,-38391.345,-5887.52,0.633,0.302,0.0
normalized_3drna_rp14_free_4.pdb,14.753,0.00020175101669417383,0.772,0.943,0.204,0.772,19.113,,0.941,0.857,0.905,1.0,1.0,0.306,-24609.3,331497.0,-0.074,0.0,1.558,1.305,1.281,-47180.548,-7917.067,0.66,0.363,0.0
normalized_3drna_rp14_free_2.pdb,14.861,0.00025299153286739706,0.743,0.943,0.236,0.72,20.015,,0.941,0.762,1.0,1.0,1.0,0.304,-25296.8,327229.0,-0.077,0.0,1.568,1.294,1.227,-46876.612,-8007.567,0.657,0.383,0.0
normalized_3drna_rp14_free_5.pdb,14.873,0.0002591176067703871,0.703,0.943,0.0,0.699,21.15,,0.881,0.667,0.857,1.0,1.0,0.304,-25893.0,314547.0,-0.082,0.0,1.573,1.343,1.275,-46412.726,-7491.516,0.633,0.385,0.0
normalized_3drna_rp14_free_3.pdb,15.217,0.0005187003483291264,0.721,0.943,0.0,0.691,21.117,,0.893,0.714,0.857,1.0,1.0,0.274,-28498.6,308193.0,-0.092,0.0,1.604,1.391,1.296,-46609.44,-7452.409,0.633,0.377,0.0
normalized_3drna_rp14_free.pdb,15.356,0.0006801276564465941,0.673,0.825,0.289,0.651,22.832,,0.905,0.714,0.905,1.0,1.0,0.307,-21931.2,246634.0,-0.089,0.0,1.63,1.409,1.105,-38706.877,-5826.456,0.558,0.307,0.0
normalized_rnajp_rp14_free.pdb,15.37,0.0006990930645670024,0.717,0.818,0.408,0.712,21.444,,0.786,0.524,0.809,0.857,0.952,0.299,-28021.8,241909.0,-0.116,0.0,1.595,1.367,1.408,-38462.916,-6378.785,0.086,0.228,0.0
normalized_rhofold_rp14_free.pdb,15.42,0.0007692245435689249,0.658,0.849,0.0,0.634,23.421,,0.774,0.429,0.762,0.905,1.0,0.286,-21682.3,238568.0,-0.091,0.0,1.621,1.22,0.836,-33771.349,-4240.062,0.485,0.261,0.0
normalized_isrna_rp14_free.pdb,15.444,0.0008049993558252311,0.713,0.943,0.0,0.682,21.654,,0.762,0.571,0.762,0.809,0.905,0.298,-30329.5,224552.0,-0.135,0.0,1.644,1.195,1.205,-39492.766,-5710.509,0.52,0.219,0.0
normalized_mcsym_rp14_free_1.pdb,15.8,0.0015589301052148508,0.672,0.839,0.0,0.659,23.52,,0.821,0.476,0.809,1.0,1.0,0.285,-27298.0,228816.0,-0.119,0.0,1.662,1.313,1.319,-35742.819,-6120.574,0.01,0.304,0.0
normalized_trrosettarna_rp14_free_5.pdb,15.977,0.002132152665468401,0.282,0.25,0.0,0.362,56.716,,0.369,0.191,0.286,0.381,0.619,0.278,-11726.5,252911.0,-0.046,0.0,1.627,1.832,0.339,-29227.329,-3729.07,0.544,0.172,0.0
normalized_trrosettarna_rp14_free_4.pdb,15.987,0.002172080700679535,0.362,0.144,0.0,0.466,44.142,,0.381,0.191,0.333,0.381,0.619,0.27,-11171.8,253638.0,-0.044,0.0,1.605,1.827,0.342,-28959.465,-3680.485,0.54,0.199,0.0
normalized_mcsym_rp14_free_2.pdb,17.28,0.016437955045396024,0.619,0.825,0.0,0.603,27.901,,0.786,0.429,0.714,1.0,1.0,0.28,-22125.4,257823.0,-0.086,0.0,1.816,1.456,1.189,-34960.952,-5083.391,0.013,0.268,0.0
