,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lDDT,TM-score,QS-score
normalized_rhofold_rp17.pdb,8.464,1.0200174038743626e-12,0.662,0.808,0.154,0.684,12.78,,0.474,0.224,0.362,0.569,0.741,0.587,-11908.7,299571.0,-0.04,0.0,0.895,1.43,0.664,-35815.888,-4527.52,0.495,0.371,0.0
normalized_trrosettarna_rp17_4.pdb,12.437,7.027521253810676e-07,0.425,0.548,0.0,0.449,29.241,,0.681,0.379,0.724,0.81,0.81,0.655,-15852.4,245066.0,-0.065,0.0,1.159,1.695,0.563,-30423.259,-3639.916,0.515,0.549,0.0
normalized_eprna_rp17.pdb,13.999,3.796989762677727e-05,,,,,,,0.177,0.069,0.086,0.172,0.379,0.397,16594.5,242605.0,0.068,0.0,1.357,2.352,0.028,-10368.152,761.372,0.0,0.14,0.0
normalized_trrosettarna_rp17_1.pdb,16.356,0.004056916213738326,0.483,0.592,0.154,0.519,33.858,,0.677,0.362,0.724,0.81,0.81,0.657,-17488.0,247093.0,-0.071,0.0,1.639,1.583,0.618,-31524.117,-3817.714,0.537,0.554,0.0
normalized_trrosettarna_rp17_3.pdb,16.359,0.004078371951171111,0.388,0.4,0.0,0.449,42.124,,0.672,0.328,0.741,0.81,0.81,0.634,-15240.7,246321.0,-0.062,0.0,1.634,1.818,0.387,-29776.19,-3177.604,0.499,0.553,0.0
normalized_trrosettarna_rp17_2.pdb,16.383,0.004241539094649693,0.47,0.447,0.218,0.532,34.856,,0.647,0.276,0.69,0.81,0.81,0.644,-16581.7,244805.0,-0.068,0.0,1.647,1.651,0.488,-30215.682,-3476.001,0.511,0.559,0.0
normalized_vfold_rp17.pdb,17.574,0.024393991241908497,0.375,0.271,0.0,0.481,46.805,,0.203,0.121,0.19,0.224,0.276,0.477,-17215.0,251008.0,-0.069,0.0,1.851,2.145,0.82,-31275.506,-3915.352,0.007,0.138,0.0
normalized_3drna_rp17.pdb,18.234,0.0543903945299139,0.45,0.31,0.0,0.554,40.483,,0.19,0.103,0.155,0.207,0.293,0.465,-19276.5,250039.0,-0.077,0.0,1.861,2.146,0.883,-34418.32,-3516.172,0.281,0.146,0.0
normalized_trrosettarna_rp17_5.pdb,19.265,0.15128914617425182,0.419,0.387,0.0,0.505,46.016,,0.345,0.207,0.293,0.397,0.483,0.576,-11596.7,229726.0,-0.05,0.0,1.973,1.82,0.363,-26257.576,-2728.221,0.394,0.256,0.0
normalized_ifoldrna_rp17_4.pdb,19.43,0.17372465362430822,0.329,0.447,0.0,0.406,59.107,,0.194,0.103,0.155,0.224,0.293,0.487,-10930.3,183566.0,-0.06,0.0,1.935,2.085,0.286,-21406.348,-715.106,0.004,0.135,0.0
normalized_mcsym_rp17_3pdb.pdb,19.581,0.19611009041537436,0.404,0.28,0.0,0.5,48.504,,0.224,0.138,0.19,0.224,0.345,0.455,-18453.9,225875.0,-0.082,0.0,1.993,2.183,1.106,-31523.253,-3813.734,0.012,0.158,0.0
normalized_mcsym_rp17_4.pdb,19.81,0.2332557906195521,0.366,0.28,0.0,0.45,54.092,,0.215,0.155,0.19,0.224,0.293,0.461,-17922.3,238433.0,-0.075,0.0,2.047,2.215,1.057,-31125.294,-3685.81,0.016,0.163,0.0
normalized_mcsym_rp17_5.pdb,20.316,0.32739145893562155,0.462,0.28,0.0,0.593,43.996,,0.194,0.103,0.172,0.224,0.276,0.48,-18599.2,227342.0,-0.082,0.0,2.065,2.199,1.078,-31260.969,-3862.131,0.005,0.171,0.0
normalized_3drna_rp17_1.pdb,20.342,0.3325894499717449,0.393,0.423,0.0,0.428,51.702,,0.259,0.155,0.207,0.276,0.397,0.464,-21191.4,238596.0,-0.089,0.0,2.051,1.998,0.69,-32149.241,-4424.857,0.293,0.197,0.0
normalized_3drna_rp17_3.pdb,20.571,0.38008399714820595,0.399,0.395,0.0,0.443,51.593,,0.263,0.172,0.241,0.276,0.362,0.45,-19069.8,239014.0,-0.08,0.0,2.082,2.022,0.666,-31495.362,-4583.727,0.289,0.188,0.0
normalized_mcsym_rp17_1.pdb,20.69,0.405379899815172,0.434,0.264,0.0,0.557,47.708,,0.203,0.121,0.19,0.224,0.276,0.47,-18369.6,194822.0,-0.094,0.0,2.124,2.171,1.052,-27900.465,-3264.871,0.009,0.139,0.0
normalized_ifoldrna_rp17_3.pdb,20.839,0.43785168496010285,0.388,0.447,0.0,0.484,53.702,,0.224,0.155,0.172,0.276,0.293,0.461,-11844.8,168958.0,-0.07,0.0,2.057,2.148,0.293,-20868.29,-650.5,0.001,0.14,0.0
normalized_rnajp_rp17.pdb,20.869,0.44445031347200226,0.485,0.271,0.0,0.618,43.004,,0.241,0.172,0.207,0.259,0.328,0.455,-27560.2,239258.0,-0.115,0.0,2.104,2.138,1.322,-35319.08,-4872.43,0.012,0.157,0.0
normalized_ifoldrna_rp17_2.pdb,21.299,0.5393603938996073,0.392,0.338,0.0,0.477,54.327,,0.198,0.103,0.155,0.241,0.293,0.462,-12524.1,197854.0,-0.063,0.0,2.166,2.27,0.483,-24327.355,-971.692,0.001,0.142,0.0
normalized_ifoldrna_rp17_1.pdb,21.466,0.5759542796832076,0.39,0.423,0.0,0.455,55.097,,0.233,0.155,0.207,0.276,0.293,0.465,-10799.0,205486.0,-0.053,0.0,2.156,2.125,0.382,-23546.017,-2471.205,0.005,0.191,0.0
normalized_3drna_rp17_4.pdb,21.701,0.6262846118044869,0.438,0.373,0.0,0.521,49.591,,0.224,0.103,0.19,0.241,0.362,0.45,-20330.7,224698.0,-0.09,0.0,2.176,2.067,0.641,-31655.203,-3914.995,0.279,0.167,0.0
normalized_mcsym_rp17_2.pdb,21.768,0.6403496886967845,0.402,0.271,0.0,0.507,54.208,,0.228,0.19,0.207,0.224,0.293,0.461,-16960.2,216532.0,-0.078,0.0,2.212,2.179,1.124,-30633.582,-3479.993,0.008,0.185,0.0
normalized_3drna_rp17_2.pdb,22.865,0.8337479306532092,0.398,0.354,0.0,0.462,57.385,,0.25,0.121,0.241,0.276,0.362,0.457,-21295.0,213328.0,-0.1,0.0,2.317,2.037,0.751,-31332.062,-3591.485,0.292,0.2,0.0
normalized_3drna_rp17_5.pdb,23.493,0.9062168354481841,0.433,0.337,,0.511,54.283,,0.254,0.138,0.241,0.276,0.362,0.476,-19705.5,205727.0,-0.096,0.0,2.356,2.084,0.727,-29938.636,-3412.081,0.291,0.196,0.0
normalized_rnacomposer_rp17.pdb,24.821,0.9800900609701272,0.46,0.387,,0.528,53.97,,0.28,0.138,0.241,0.328,0.414,0.491,-25473.5,222253.0,-0.115,0.0,2.493,2.007,0.735,-33622.629,-4193.437,0.323,0.193,0.0
normalized_isrna_rp17.pdb,26.623,0.9988814758140487,0.457,0.424,0.0,0.517,58.251,,0.263,0.155,0.224,0.31,0.362,0.506,-25913.2,200146.0,-0.129,0.0,2.617,2.032,0.827,-33264.82,-3896.217,0.278,0.211,0.0
normalized_ifoldrna_rp17_5.pdb,27.009,0.9994649677369429,0.267,0.4,0.0,0.303,101.239,,0.181,0.086,0.155,0.207,0.276,0.478,-8808.07,176317.0,-0.05,0.0,2.679,2.129,0.287,-19857.336,-863.514,0.002,0.126,0.0
normalized_vfoldpipeline_rp17.pdb,30.355,0.9999998553388919,0.442,0.387,0.0,0.507,68.755,,0.246,0.155,0.224,0.276,0.328,0.476,-23693.4,203041.0,-0.117,0.0,2.997,2.111,0.923,-32225.764,-3985.263,0.278,0.185,0.0
normalized_simrna_rp17.pdb,48.904,1.0,0.121,,,0.156,403.272,,0.09,0.069,0.069,0.103,0.121,0.44,-4834.12,71647.0,-0.067,0.0,4.645,1.981,0.032,-8995.139,-85.243,0.0,0.085,0.0
