,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_trrosettarna_6CU1_1.pdb,1.946,0.0,0.787,0.945,0.714,0.733,2.474,24.93,0.203,0.101,0.139,0.203,0.367,0.0,0.811,0.181,0.9,2.917,0.787,0.03,,,
normalized_trrosettarna_6CU1_3.pdb,1.948,0.0,0.677,0.824,0.401,0.662,2.875,27.67,0.199,0.089,0.127,0.215,0.367,0.0,0.798,0.187,1.189,2.389,0.753,0.031,,,
normalized_trrosettarna_6CU1_2.pdb,2.107,0.0,0.675,0.802,0.571,0.645,3.122,26.92,0.196,0.089,0.127,0.203,0.367,0.0,0.798,0.191,1.178,2.335,0.754,0.03,,,
normalized_trrosettarna_6CU1_4.pdb,2.229,0.0,0.639,0.824,0.478,0.597,3.491,26.47,0.203,0.101,0.127,0.215,0.367,0.0,0.805,0.184,1.205,2.28,0.752,0.029,,,
normalized_rhofold_6CU1.pdb,3.219,0.0,0.806,0.983,0.189,0.778,3.996,40.53,0.19,0.101,0.139,0.203,0.317,0.0,0.541,0.338,1.016,1.851,0.628,0.03,,,
normalized_trrosettarna_6CU1_5.pdb,10.6,0.0,0.542,0.598,0.0,0.635,19.548,38.8,0.161,0.076,0.139,0.152,0.279,0.0,0.393,1.15,1.604,1.357,0.606,0.03,,,
normalized_simrna_6CU1.pdb,16.378,1.1520688480981538e-07,0.646,0.759,0.154,0.645,25.358,24.28,0.136,0.076,0.127,0.139,0.203,0.0,0.326,1.7,1.703,2.777,0.012,0.025,,,
normalized_3drna_6CU1_1.pdb,17.213,1.243906734060829e-06,0.636,0.694,0.267,0.642,27.08,25.08,0.139,0.089,0.101,0.139,0.228,0.0,0.289,1.79,1.746,1.642,0.439,0.024,,,
normalized_isrna_6CU1.pdb,17.533,2.9368198911639e-06,0.671,0.832,,0.64,26.128,19.03,0.155,0.101,0.127,0.152,0.24,0.0,0.24,1.85,1.526,2.663,0.447,0.032,,,
normalized_3drna_6CU1_5.pdb,17.953,8.632132337593745e-06,0.627,0.742,0.286,0.62,28.652,24.44,0.161,0.101,0.114,0.203,0.228,0.0,0.272,1.81,1.663,1.612,0.361,0.029,,,
normalized_3drna_6CU1_4.pdb,18.335,2.197356774530368e-05,0.705,0.849,0.0,0.7,26.013,22.94,0.149,0.114,0.114,0.139,0.228,0.0,0.237,1.902,1.475,2.62,0.498,0.027,,,
normalized_rnacomposer_6CU1.pdb,18.513,3.351866721079677e-05,0.739,0.832,0.535,0.715,25.064,20.65,0.127,0.076,0.101,0.139,0.19,0.0,0.202,1.957,1.352,1.95,0.533,0.03,,,
normalized_vfold_6CU1.pdb,19.279,0.000184703060873,0.657,0.832,0.0,0.658,29.364,28.35,0.142,0.089,0.114,0.152,0.215,0.0,0.258,2.039,1.598,1.888,0.011,0.028,,,
normalized_vfoldpipeline_6CU1.pdb,19.325,0.0002032805126883,0.733,0.815,0.218,0.74,26.361,16.07,0.149,0.101,0.127,0.152,0.215,0.0,0.257,2.021,1.383,3.125,0.541,0.03,,,
normalized_rnajp_6CU1.pdb,19.554,0.0003264627119393,0.74,0.832,0.436,0.727,26.416,20.98,0.152,0.089,0.101,0.165,0.253,0.0,0.253,2.081,1.42,3.129,0.026,0.026,,,
normalized_3drna_6CU1_3.pdb,20.174,0.0010930850617487,0.483,0.546,0.154,0.508,41.734,27.18,0.136,0.076,0.114,0.139,0.215,0.0,0.27,2.058,2.011,1.29,0.239,0.029,,,
normalized_3drna_6CU1_2.pdb,20.264,0.0012898645417274,0.648,0.803,0.0,0.618,31.286,29.07,0.12,0.076,0.089,0.139,0.177,0.0,0.225,2.113,1.825,1.605,0.347,0.035,,,
normalized_alphafold3_6CU1_1.pdb,2.103,0.0,0.928,1.0,0.935,0.898,2.266,8.05,0.212,0.114,0.127,0.24,0.367,0.0,0.783,0.229,0.479,3.233,0.894,0.03,0.0,89.873,71.0
